iter	Logloss
0	0.6530790358
1	0.6209737828
2	0.5990049997
3	0.5799665442
4	0.5645928377
5	0.5517730301
6	0.5406362966
7	0.5284277675
8	0.518022303
9	0.5090727406
10	0.5014733724
11	0.4910735401
12	0.4845365416
13	0.4793359633
14	0.475122727
15	0.4709514009
16	0.4674985613
17	0.4643275452
18	0.4593864553
19	0.456616703
20	0.45324811
21	0.4514996479
22	0.4494362012
23	0.4477020265
24	0.4463035461
25	0.4448745631
26	0.4436837579
27	0.4422167183
28	0.4410232759
29	0.4387330184
30	0.4376945813
31	0.4368816431
32	0.4359149254
33	0.4350092363
34	0.4343197092
35	0.4335063641
36	0.4325448868
37	0.4319618912
38	0.4307632885
39	0.4301809213
40	0.4297387135
41	0.4289358634
42	0.428431493
43	0.4279852553
44	0.4275117224
45	0.4262861609
46	0.4255705393
47	0.4249203037
48	0.4245130999
49	0.4238229696
50	0.4233943494
51	0.4229375653
52	0.4219942057
53	0.4216724155
54	0.4213385539
55	0.4210314348
56	0.4204279746
57	0.4201497653
58	0.4196535843
59	0.4193074434
60	0.4190474573
61	0.4186130137
62	0.418330553
63	0.418093765
64	0.4177365911
65	0.4175281259
66	0.4171818399
67	0.4170360723
68	0.4167685326
69	0.4165028404
70	0.416216047
71	0.4159229236
72	0.4157098285
73	0.4154160285
74	0.4152011643
75	0.4149976226
76	0.4148347615
77	0.4145245154
78	0.4143532946
79	0.4140827924
80	0.4138966123
81	0.4136700174
82	0.412919696
83	0.4126226867
84	0.4124736317
85	0.4122648314
86	0.4121432761
87	0.411642076
88	0.4114829357
89	0.4113334304
90	0.4111142547
91	0.4108492909
92	0.4105823099
93	0.4103835117
94	0.4102384282
95	0.4100623364
96	0.4099466408
97	0.4098068541
98	0.4095233888
99	0.4093417182
100	0.4091854606
101	0.409021533
102	0.4088160138
103	0.4085549309
104	0.4085134718
105	0.408363026
106	0.4082586405
107	0.4080810796
108	0.4079514115
109	0.4077610252
110	0.4075720207
111	0.4074370278
112	0.4071126374
113	0.406939107
114	0.406752284
115	0.4066440713
116	0.4065040199
117	0.4064101731
118	0.4062633418
119	0.4060534895
120	0.4057954576
121	0.4056211846
122	0.4054333359
123	0.405367795
124	0.405154887
125	0.4050341009
126	0.4049432574
127	0.4048473668
128	0.4046835184
129	0.4045915858
130	0.4043409576
131	0.4042384783
132	0.4041502564
133	0.4040668319
134	0.4039970361
135	0.4039065297
136	0.4038272154
137	0.403726201
138	0.4036132259
139	0.4034630979
140	0.4032855788
141	0.4031474668
