iter	Passed	Remaining
0	169	168867
1	287	143446
2	387	128904
3	453	112886
4	520	103566
5	616	102166
6	720	102178
7	835	103562
8	950	104632
9	1135	112390
10	1227	110407
11	1338	110204
12	1462	111027
13	1612	113557
14	1718	112850
15	1780	109490
16	1843	106600
17	1953	106571
18	2018	104206
19	2159	105806
20	2209	102990
21	2272	101028
22	2493	105912
23	2576	104758
24	2653	103473
25	2741	102713
26	2842	102436
27	2932	101794
28	3032	101520
29	3102	100301
30	3151	98520
31	3205	96952
32	3255	95409
33	3311	94084
34	3358	92594
35	3400	91069
36	3477	90498
37	3538	89582
38	3588	88426
39	3638	87331
40	3692	86369
41	3780	86232
42	3852	85738
43	3978	86445
44	4033	85593
45	4083	84697
46	4134	83834
47	4188	83081
48	4262	82734
49	4316	82014
50	4375	81412
51	4528	82555
52	4582	81875
53	4652	81500
54	4704	80825
55	4775	80501
56	4825	79837
57	4870	79107
58	4936	78732
59	5013	78550
60	5093	78407
61	5146	77865
62	5200	77346
63	5262	76968
64	5312	76422
65	5365	75924
66	5425	75557
67	5528	75766
68	5610	75698
69	5729	76117
70	5826	76231
71	5916	76262
72	6046	76781
73	6155	77032
74	6207	76555
75	6260	76112
76	6336	75952
77	6396	75609
78	6460	75318
79	6546	75290
80	6639	75329
81	6712	75144
82	6770	74799
83	6815	74317
84	6859	73843
85	6933	73692
86	7056	74052
87	7146	74064
88	7225	73955
89	7279	73603
90	7327	73191
91	7395	72990
92	7444	72599
93	7494	72232
94	7542	71849
95	7588	71453
96	7654	71256
97	7712	70989
98	7778	70790
99	7831	70479
100	7902	70341
101	7971	70182
102	8041	70033
103	8102	69806
104	8169	69631
105	8227	69386
106	8278	69087
107	8327	68776
108	8376	68475
109	8475	68577
110	8529	68316
111	8579	68025
112	8651	67909
113	8699	67611
114	8763	67443
115	8842	67387
116	8912	67262
117	8962	66988
118	9014	66740
119	9123	66907
120	9200	66838
121	9280	66787
122	9365	66773
123	9418	66534
124	9473	66312
125	9518	66022
126	9565	65754
127	9631	65614
128	9691	65438
129	9746	65225
130	9821	65148
131	9904	65130
132	9953	64881
133	9994	64588
134	10071	64533
135	10124	64317
136	10175	64098
137	10225	63872
138	10320	63928
139	10413	63967
140	10464	63754
141	10534	63649
142	10599	63524
143	10641	63256
144	10721	63218
145	10811	63240
146	10871	63085
147	10922	62876
148	10987	62752
149	11099	62897
150	11151	62700
151	11201	62490
152	11245	62253
153	11284	61991
154	11350	61878
155	11400	61679
156	11451	61487
157	11526	61424
158	11548	61085
159	11628	61048
160	11677	60853
161	11747	60769
162	11800	60594
163	11902	60673
164	11989	60675
165	12048	60531
166	12114	60428
167	12189	60368
168	12237	60171
169	12309	60098
170	12395	60091
171	12444	59909
172	12491	59712
173	12542	59539
174	12595	59376
175	12627	59117
176	12674	58933
177	12747	58868
178	12800	58711
179	12883	58690
180	12941	58559
181	12996	58411
182	13043	58234
183	13106	58125
184	13157	57964
185	13214	57830
186	13266	57678
187	13330	57575
188	13398	57493
189	13455	57361
190	13513	57239
191	13584	57168
192	13644	57053
193	13694	56894
194	13753	56777
195	13848	56808
196	13920	56741
197	13973	56599
198	14030	56474
199	14107	56430
200	14160	56289
201	14212	56144
202	14283	56077
203	14352	56001
204	14411	55888
205	14472	55782
206	14545	55722
207	14677	55885
208	14735	55768
209	14799	55674
210	14855	55550
211	14939	55528
212	14999	55422
213	15078	55380
214	15130	55243
215	15205	55189
216	15256	55048
217	15315	54939
218	15370	54814
219	15443	54752
220	15508	54664
221	15566	54551
222	15625	54444
223	15695	54372
224	15751	54255
225	15809	54142
226	15911	54184
227	15976	54097
228	16034	53984
229	16094	53881
230	16175	53849
231	16238	53753
232	16319	53722
233	16389	53652
234	16461	53587
235	16523	53489
236	16583	53388
237	16683	53415
238	16740	53303
239	16805	53217
240	16876	53149
241	16952	53099
242	17030	53054
243	17083	52931
244	17155	52867
245	17249	52869
246	17308	52765
247	17378	52696
248	17444	52614
249	17503	52509
250	17557	52392
251	17631	52336
252	17706	52280
253	17764	52174
254	17825	52078
255	17914	52064
256	17975	51967
257	18028	51849
258	18081	51732
259	18156	51676
260	18218	51583
261	18276	51481
262	18334	51379
263	18430	51381
264	18495	51297
265	18557	51206
266	18607	51084
267	18693	51058
268	18749	50950
269	18808	50852
270	18905	50855
271	18976	50789
272	19035	50690
273	19090	50583
274	19164	50523
275	19229	50441
276	19298	50371
277	19353	50262
278	19424	50197
279	19480	50093
280	19539	49996
281	19597	49897
282	19697	49904
283	19748	49789
284	19804	49683
285	19881	49633
286	19960	49589
287	20010	49470
288	20089	49424
289	20149	49331
290	20230	49289
291	20287	49189
292	20342	49085
293	20403	48996
294	20498	48987
295	20560	48900
296	20621	48811
297	20682	48721
298	20764	48681
299	20832	48608
300	20923	48589
301	20999	48535
302	21068	48464
303	21111	48333
304	21165	48230
305	21349	48419
306	21419	48351
307	21481	48263
308	21543	48176
309	21626	48137
310	21683	48037
311	21741	47943
312	21822	47897
313	21944	47942
314	22003	47848
315	22055	47739
316	22119	47658
317	22201	47613
318	22278	47560
319	22336	47466
320	22396	47375
321	22489	47354
322	22545	47254
323	22602	47158
324	22660	47064
325	22753	47042
326	22818	46962
327	22911	46940
328	22967	46842
329	23052	46803
330	23111	46712
331	23194	46668
332	23290	46651
333	23390	46641
334	23499	46648
335	23583	46605
336	23669	46566
337	23759	46534
338	23831	46468
339	23891	46376
340	23955	46295
341	24024	46222
342	24099	46160
343	24173	46098
344	24244	46030
345	24322	45972
346	24384	45888
347	24440	45790
348	24516	45730
349	24574	45639
350	24650	45578
351	24777	45613
352	24872	45587
353	24933	45500
354	25015	45450
355	25084	45377
356	25140	45281
357	25205	45200
358	25276	45131
359	25339	45047
360	25396	44953
361	25450	44854
362	25530	44801
363	25595	44722
364	25649	44623
365	25698	44516
366	25762	44435
367	25828	44358
368	25891	44275
369	25949	44184
370	26025	44124
371	26080	44027
372	26147	43953
373	26200	43854
374	26277	43795
375	26337	43709
376	26400	43626
377	26451	43526
378	26519	43452
379	26576	43362
380	26638	43278
381	26699	43195
382	26774	43132
383	26837	43052
384	26927	43014
385	27071	43061
386	27133	42978
387	27218	42931
388	27325	42920
389	27402	42860
390	27472	42789
391	27543	42720
392	27702	42786
393	27856	42846
394	27990	42871
395	28162	42954
396	28261	42926
397	28328	42848
398	28415	42801
399	28460	42690
400	28519	42601
401	28577	42511
402	28701	42517
403	28792	42475
404	28874	42420
405	28967	42381
406	29038	42309
407	29103	42228
408	29323	42371
409	29403	42312
410	29516	42299
411	29780	42502
412	29875	42461
413	29941	42380
414	30013	42308
415	30076	42223
416	30132	42127
417	30202	42052
418	30306	42023
419	30390	41968
420	30468	41902
421	30548	41840
422	30635	41788
423	30742	41763
424	30866	41761
425	30948	41701
426	31061	41682
427	31146	41625
428	31214	41546
429	31276	41460
430	31387	41437
431	31457	41360
432	31524	41280
433	31592	41201
434	31673	41139
435	31745	41064
436	31865	41053
437	31928	40967
438	32008	40904
439	32097	40851
440	32176	40786
441	32261	40728
442	32364	40693
443	32456	40644
444	32509	40545
445	32615	40513
446	32683	40433
447	32765	40371
448	32862	40328
449	32930	40247
450	32979	40145
451	33043	40061
452	33113	39985
453	33170	39892
454	33228	39801
455	33302	39729
456	33370	39650
457	33439	39572
458	33525	39514
459	33623	39471
460	33700	39402
461	33821	39385
462	33924	39347
463	33996	39272
464	34082	39213
465	34171	39157
466	34243	39083
467	34315	39008
468	34373	38917
